Model,DW_statistic,DW_p_value,Residual_Shapiro_W,Residual_Shapiro_p,VIF_Renewables,VIF_Energy
Model 1: CO2 ~ Renewables,0.28584088443170147,4.623458979616981e-13,0.9565025872426322,0.17924845681690021,NA,NA
Model 2: CO2 ~ Energy,0.3369491644074774,8.295179508287294e-12,0.9116610986018945,0.008261781684657219,NA,NA
Model 3: CO2 ~ Renewables + Energy,0.2897529587685529,1.5563912541762446e-13,0.862670715050514,4.5312460818559716e-4,13.70224098302263,13.70224098302263
