Model,Term,Estimate,Std_Error,t_value,p_value,R2,Adj_R2
Model 1: CO2 ~ Renewables,(Intercept),9.798581292947585,0.11934506162646819,82.10294719705828,9.705987805091012e-40,0.9342250527957447,0.932231872577434
Model 1: CO2 ~ Renewables,renewables_share_energy,-0.2829768600093125,0.013070688137439675,-21.649729305280697,4.480191338395827e-21,0.9342250527957447,0.932231872577434
Model 2: CO2 ~ Energy,(Intercept),-4.957099066395952,0.4146559928795851,-11.954726692773205,1.5475557452956981e-13,0.968362195254349,0.9674034738984202
Model 2: CO2 ~ Energy,energy_per_capita,3.307000515931243e-4,1.0405466378893336e-5,31.78137716767056,2.5082723214618422e-26,0.968362195254349,0.9674034738984202
Model 3: CO2 ~ Renewables + Energy,(Intercept),-1.1557382677482997,1.5998326199192094,-0.7224119907035423,0.4752879472668994,0.9733545993966655,0.9716892618589571
Model 3: CO2 ~ Renewables + Energy,renewables_share_energy,-0.07657303071611844,0.03127210437931195,-2.448604986326897,0.020003381399198703,0.9733545993966655,0.9716892618589571
Model 3: CO2 ~ Renewables + Energy,energy_per_capita,2.460727699610533e-4,3.5896101787645054e-5,6.855139073785114,9.363002221698014e-8,0.9733545993966655,0.9716892618589571
